Accion,Cotizacion
MNYWW,0.07450000196695328
IVDAW,0.07500000298023224
YSBPW,0.07699999958276749
CEROW,0.07779999822378159
PEGRW,0.0794999971985817
AWIN,0.07999999821186066
ROCLW,0.07999999821186066
ANGHW,0.07999999821186066
ISRLW,0.07999999821186066
TVGNW,0.07999999821186066
AIMDW,0.0803999975323677
CREVW,0.08160000294446945
MYPSW,0.08160000294446945
GRRRW,0.08190000057220459
WLDSW,0.08190000057220459
EVGRW,0.08240000158548355
LUCYW,0.08259999752044678
LIFWZ,0.08429999649524689
ZFOXW,0.08500000089406967
SQFTW,0.0860000029206276
ATMVR,0.0868000015616417
CCGWW,0.08799999952316284
BTBDW,0.08950000256299973
GGROW,0.08950000256299973
SXTPW,0.09000000357627869
COCHW,0.09019999951124191
KTRA,0.09149999916553497
SINT,0.0925000011920929
BSFC,0.09399999678134918
LILMW,0.0949999988079071
CRGOW,0.09600000083446503
HOLOW,0.09799999743700027
RDZNW,0.09799999743700027
CFFSW,0.0989999994635582
PETVW,0.10000000149011612
STSSW,0.10000000149011612
MVSTW,0.10000000149011612
ALSAR,0.10000000149011612
KWESW,0.10050000250339508
NUTX,0.10199999809265137
VSTEW,0.1046999990940094
NETDW,0.10499999672174454
SAITW,0.10540000349283218
CDIOW,0.10599999874830246
PBMWW,0.10790000110864639
GOEVW,0.10999999940395355
ADVWW,0.10999999940395355
BOWNR,0.11010000109672546
TWLVW,0.1111999973654747
LDTCW,0.1145000010728836
HSCS,0.11999999731779099
RENEW,0.11999999731779099
BLDEW,0.11999999731779099
ADTHW,0.11999999731779099
ZEOWW,0.11999999731779099
GWAV,0.12210000306367874
MVLA,0.12399999797344208
PGYWW,0.125
OBLG,0.12600000202655792
NCPL,0.1282999962568283
CAPTW,0.12849999964237213
EMLDW,0.12999999523162842
BTMWW,0.12999999523162842
FFIE,0.13169999420642853
ICUCW,0.13199999928474426
XXII,0.13600000739097595
CTCXW,0.13699999451637268
RCON,0.13699999451637268
BRLSW,0.13840000331401825
RVSNW,0.13979999721050262
ARRWW,0.13989999890327454
BETRW,0.14000000059604645
SNOA,0.14100000262260437
SMX,0.1420000046491623
JOAN,0.14309999346733093
PLMJW,0.14499999582767487
NEOVW,0.1459999978542328
NKGNW,0.14650000631809235
SOPA,0.14800000190734863
BNIXR,0.15000000596046448
CSLMW,0.15000000596046448
CYN,0.1500999927520752
RVMDW,0.1500999927520752
ATXI,0.1509999930858612
AMPGW,0.15199999511241913
BNAIW,0.15479999780654907
COOLW,0.1550000011920929
SPKLW,0.15680000185966492
AITRR,0.1598999947309494
BWAQW,0.1599999964237213
NRXPW,0.1599999964237213
CRMLW,0.1623000055551529
EFTRW,0.16249999403953552
ASCAR,0.16300000250339508
BREZR,0.16439999639987946
ONCO,0.16599999368190765
WHLR,0.16609999537467957
EVGOW,0.16660000383853912
SPCB,0.1687999963760376
BRKHW,0.16990000009536743
ARBEW,0.17000000178813934
CONXW,0.17000000178813934
PSNYW,0.17000000178813934
SEPAW,0.17000000178813934
OAKUR,0.17000000178813934
AGRI,0.17100000381469727
FGIWW,0.1720999926328659
CSSE,0.1745000034570694
DPRO,0.17499999701976776
GV,0.1754000037908554
SDAWW,0.17599999904632568
MGAM,0.17810000479221344
EOSEW,0.17990000545978546
NLSP,0.18000000715255737
BIOL,0.18000000715255737
ADN,0.18000000715255737
RSLS,0.1850000023841858
AFIB,0.1850000023841858
CETUR,0.1860000044107437
HLTH,0.1867000013589859
MGRX,0.18700000643730164
SNPX,0.18709999322891235
GRABW,0.1899999976158142
SLDPW,0.1899999976158142
TALKW,0.19339999556541443
MOBXW,0.19439999759197235
KXIN,0.19509999454021454
BAERW,0.19750000536441803
HTOOW,0.1988999992609024
CXAIW,0.19990000128746033
TOIIW,0.20000000298023224
PIRS,0.20000000298023224
ISUN,0.20149999856948853
SVMH,0.20200000703334808
WKHS,0.20980000495910645
AUROW,0.20990000665187836
SLAMW,0.20999999344348907
TMCWW,0.20999999344348907
BWAQR,0.21199999749660492
SGBX,0.2143000066280365
WTO,0.21610000729560852
HUDAR,0.21960000693798065
SOLO,0.2199999988079071
GAMCW,0.2199999988079071
MDAIW,0.2248000055551529
PRST,0.2272000014781952
JSPRW,0.23000000417232513
BEATW,0.23000000417232513
SLNA,0.2329999953508377
RGTIW,0.23389999568462372
GRTX,0.23399999737739563
ISPC,0.23810000717639923
GHIXW,0.2387000024318695
PAYOW,0.23999999463558197
AKAN,0.24400000274181366
CNXA,0.2468000054359436
LNZAW,0.24719999730587006
TKLF,0.24799999594688416
NCNC,0.24799999594688416
BUJAR,0.2498999983072281
DRTSW,0.25
ADD,0.25
NTRBW,0.25
PLMIW,0.25110000371932983
ZAPP,0.2549999952316284
GPAK,0.25519999861717224
KITT,0.26010000705718994
ETAO,0.26019999384880066
MOBBW,0.267300009727478
BGXX,0.2680000066757202
SXTP,0.26899999380111694
KZIA,0.26989999413490295
AKLI,0.2720000147819519
QSIAW,0.27379998564720154
LUCY,0.2791000008583069
GFAIW,0.2800000011920929
RCKTW,0.2800999879837036
EUDAW,0.2849999964237213
STBX,0.28700000047683716
EDBL,0.28700000047683716
CYTHW,0.28999999165534973
STSS,0.29260000586509705
ZURAW,0.29750001430511475
CVIIW,0.30000001192092896
INVZW,0.30000001192092896
STAF,0.30000001192092896
SDOT,0.3003999888896942
GCMGW,0.30079999566078186
NCNA,0.30410000681877136
AREB,0.3100000023841858
GLMD,0.3109999895095825
COEP,0.3140000104904175
ALBT,0.3149999976158142
GIPRW,0.32010000944137573
HRYU,0.32600000500679016
TRNR,0.3278999924659729
GCTK,0.32899999618530273
JEWL,0.33000001311302185
AONCW,0.33000001311302185
RGF,0.3319999873638153
CASA,0.33399999141693115
MRIN,0.33399999141693115
VERB,0.3407999873161316
TNXP,0.34599998593330383
AIH,0.3499999940395355
RELI,0.35019999742507935
ALLR,0.35100001096725464
ACON,0.35199999809265137
RENT,0.35260000824928284
NRSNW,0.35830000042915344
WINT,0.36000001430511475
AGBA,0.36000001430511475
SMSI,0.36010000109672546
EVLVW,0.36010000109672546
TWOU,0.36039999127388
VSME,0.36160001158714294
ATPC,0.367000013589859
CTHR,0.36899998784065247
TBLAW,0.3698999881744385
ARQQW,0.3700000047683716
OCEAW,0.3700000047683716
BZFD,0.3700000047683716
MGOL,0.37299999594688416
FUFUW,0.37400001287460327
PALI,0.374099999666214
YTEN,0.375
CNSP,0.3779999911785126
INM,0.3797000050544739
EMKR,0.3813000023365021
BPTS,0.38199999928474426
LGVN,0.38199999928474426
GMDA,0.38670000433921814
KRKR,0.3871999979019165
QLGN,0.3889999985694885
SCLXW,0.38999998569488525
VWE,0.38999998569488525
OTRK,0.3921000063419342
ASTI,0.39399999380111694
JFBR,0.39500001072883606
NIOBW,0.4000000059604645
SHOTW,0.4000000059604645
NXPLW,0.4000000059604645
SOBR,0.4009999930858612
ME,0.40149998664855957
CTRM,0.4025999903678894
WBUY,0.4049000144004822
AGFY,0.4059999883174896
MOVE,0.40799999237060547
BCDA,0.4099999964237213
DRMA,0.41519999504089355
LSEAW,0.4180000126361847
AAGR,0.4189999997615814
MDIA,0.41999998688697815
IMCC,0.4269999861717224
BON,0.4300000071525574
ESGL,0.43050000071525574
SANW,0.4316999912261963
THAR,0.4348999857902527
NUWE,0.43700000643730164
SNTI,0.43880000710487366
ALCE,0.4399999976158142
JTAIZ,0.4399999976158142
CLNN,0.4440000057220459
TBIO,0.4449999928474426
YGMZ,0.44510000944137573
DUO,0.446399986743927
SHPH,0.4480000138282776
MNTS,0.4490000009536743
ILAG,0.44999998807907104
SECO,0.4512999951839447
VINO,0.4542999863624573
TCON,0.45660001039505005
VIRI,0.45739999413490295
DYNT,0.4580000042915344
TRVN,0.46000000834465027
POLA,0.46000000834465027
SKGRW,0.460099995136261
ONFO,0.460999995470047
TLSA,0.4650000035762787
FTCI,0.4681999981403351
ELBM,0.4706999957561493
NXGLW,0.47119998931884766
KSCP,0.4749999940395355
SCRMW,0.47699999809265137
AQMS,0.47699999809265137
DARE,0.47839999198913574
RVPHW,0.47999998927116394
MOTS,0.48069998621940613
RDHL,0.48179998993873596
GDHG,0.4821999967098236
NXL,0.48399999737739563
FUV,0.48510000109672546
BETR,0.48899999260902405
OST,0.49000000953674316
IONM,0.4959999918937683
SSKN,0.49799999594688416
OPGN,0.49900001287460327
FRZA,0.5
APDN,0.5
PRTG,0.5
ORGN,0.506600022315979
SEEL,0.5066999793052673
TIRX,0.5074999928474426
IPW,0.5092999935150146
RNWWW,0.5099999904632568
ARKOW,0.5099999904632568
NVOS,0.510200023651123
FLNT,0.5116000175476074
OMIC,0.5149999856948853
SCNI,0.5162000060081482
LVROW,0.5177000164985657
CJET,0.5199999809265137
DFLI,0.5260999798774719
OMQS,0.5268999934196472
CRESW,0.5299999713897705
CSSEP,0.5299999713897705
STRM,0.5299999713897705
MYSZ,0.5339999794960022
GSUN,0.5360000133514404
BSGM,0.5389999747276306
WRNT,0.5400000214576721
AGRX,0.546999990940094
UPXI,0.5490000247955322
LOTWW,0.550000011920929
APCXW,0.550000011920929
AGEN,0.550000011920929
PXMD,0.551800012588501
VERU,0.5600000023841858
NRXP,0.5600000023841858
DXYN,0.5626999735832214
FCUV,0.5669999718666077
AKTS,0.5690000057220459
QLI,0.5697000026702881
BCLI,0.5699999928474426
WKSP,0.5699999928474426
VBIV,0.5752000212669373
BIVI,0.5759999752044678
ELWS,0.5770000219345093
BREZW,0.5799999833106995
VIOT,0.5800999999046326
GNLN,0.5830000042915344
SPI,0.5882999897003174
QMCO,0.5899999737739563
STKH,0.5899999737739563
ZKIN,0.5899999737739563
LXEH,0.5910999774932861
BFI,0.5979999899864197
VMAR,0.6000000238418579
KPRX,0.6000000238418579
FMSTW,0.6000000238418579
ABLLW,0.6001999974250793
APLM,0.6010000109672546
EVOK,0.6019999980926514
WALDW,0.6031000018119812
OLB,0.6061999797821045
FORD,0.6079999804496765
SPGC,0.609000027179718
WLDS,0.6098999977111816
ODVWZ,0.6100000143051147
CEAD,0.6140000224113464
CACO,0.6200000047683716
SLRX,0.6200000047683716
AZ,0.6200000047683716
GEVO,0.6207000017166138
WLGS,0.6211000084877014
XCUR,0.628600001335144
XTKG,0.6298999786376953
BNZI,0.6299999952316284
YS,0.6299999952316284
CSLR,0.6309999823570251
CMPOW,0.6315000057220459
HUIZ,0.6319000124931335
COSM,0.6330000162124634
SNGX,0.6348000168800354
EM,0.6399000287055969
OABIW,0.6399999856948853
PRZO,0.6480000019073486
OSA,0.6489999890327454
KA,0.6499000191688538
AIRJW,0.6499999761581421
CVKD,0.6499999761581421
CNTG,0.6499999761581421
ASTSW,0.6499999761581421
ASLN,0.652999997138977
LKCO,0.656000018119812
NKLA,0.6622999906539917
RNAZ,0.6662999987602234
HYZN,0.6700000166893005
PPBT,0.6711000204086304
ASST,0.6759999990463257
MEGL,0.6786999702453613
YJ,0.6787999868392944
ASTR,0.6790000200271606
SONM,0.6798999905586243
HUGE,0.6800000071525574
DMTK,0.6826000213623047
VLCN,0.6837000250816345
BIRD,0.6880000233650208
SNES,0.6880000233650208
MNPR,0.6895999908447266
VERO,0.6899999976158142
ZCAR,0.6899999976158142
FLJ,0.6899999976158142
HUMAW,0.6916999816894531
TOUR,0.6947000026702881
NXU,0.6966999769210815
NXTP,0.6970000267028809
ATRA,0.6970000267028809
AMLI,0.6990000009536743
RAYA,0.699999988079071
FBRX,0.7003999948501587
SGMO,0.703000009059906
XLO,0.7074999809265137
TANH,0.7087000012397766
ALPP,0.7089999914169312
VAXX,0.7093999981880188
HOOK,0.7110999822616577
RNAC,0.7142000198364258
ABTS,0.7149999737739563
BIAFW,0.7196000218391418
FBYDW,0.7200000286102295
JCSE,0.7200999855995178
BOXL,0.7210000157356262
PHIO,0.7249000072479248
BGLC,0.7250000238418579
SISI,0.7300000190734863
CAUD,0.7300000190734863
DOYU,0.7300000190734863
OCTO,0.7300000190734863
SPRB,0.7300000190734863
IINNW,0.7300000190734863
VEV,0.7321000099182129
YGF,0.733299970626831
ARQQ,0.7350000143051147
MVST,0.7351999878883362
